ID,nDissSteps,pKa,pKa_1,pKa_2,pKaType,pKaType_1,pKaType_2,ChargeA,ChargeA_1,ChargeA_2,ChargeA_3,ChargeB,ChargeB_1,ChargeB_2,ChargeB_3
373,3,4.76,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
374,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
375,3,2.2,2.56,3.16,-1,-1,-1,0,-1,-2,-3,0,0,0,0
376,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
377,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
378,3,1.54,15,16,1,0,0,0,0,0,0,1,0,0,0
379,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
380,3,1.86,15,16,1,0,0,0,0,0,0,2,1,1,1
381,3,4.27,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
382,3,3.58,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
383,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
384,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
385,3,1.15,15,16,-1,0,0,0,-1,-1,-1,1,1,1,1
386,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
387,3,1,3.63,16,-1,1,0,0,-1,-1,-1,1,1,0,0
388,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
389,3,14,15,16,0,0,0,-2,-2,-2,-2,0,0,0,0
390,3,4.32,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
391,3,3.81,15,16,1,0,0,0,0,0,0,1,0,0,0
392,3,1.63,4.12,16,-1,-1,0,0,-1,-2,-2,1,1,1,1
